Table 2.1 : Labour force by District Council district and sex,,,
 ,,,
 ,Labour force,Labour force,Labour force
,No. ('000),No. ('000),No. ('000)
Year,2024,2024,2024
Sex,Male,Female,Both sexes
District Council district (DCD),,,
Central and Western,52.7,70.9,123.6
Wan Chai,35.2,53.3,88.6
Eastern,119.3,140.0,259.3
Southern,61.1,72.6,133.7
Yau Tsim Mong,76.8,82.8,159.6
Sham Shui Po,106.4,109.4,215.7
Kowloon City,96.6,114.7,211.3
Wong Tai Sin,104.8,98.5,203.3
Kwun Tong,165.4,160.8,326.3
Kwai Tsing,125.7,117.1,242.8
Tsuen Wan,78.9,83.3,162.1
Tuen Mun,143.3,126.8,270.1
Yuen Long,179.3,171.9,351.2
North,88.8,80.3,169.1
Tai Po,85.0,82.6,167.6
Sha Tin,173.6,175.1,348.7
Sai Kung,128.6,141.1,269.7
Islands,52.2,52.5,104.7
Whole Territory,1873.7,1933.7,3807.4
